tmc,NORMALIZEDSTART
129+10057,21665.5658
129-08948,19614.3765
129-05647,31959.7796
129+04877,13589.7054
129-06419,25172.723
129+06283,43107.7501
129+11338,15663.5274
129-06479,26037.8414
129-08174,6435.1348
129-08451,18617.7129
129-08827,2409.4958
129+05814,4038.4271
129-08908,30015.4359
129+08345,8380.8174
129-08063,14158.439
129-09024,27872.1498
129+05598,38257.4699
129+06290,45379.3791
129-07609,12990.7924
129-04868,18896.1037
129+08742,76510.4881
129-08459,4062.2761
129+04810,8262.521
129-08073,38738.1948
129-04857,17041.7255
129+10229,13991.82
129+10231,15761.9525
129-08116,20804.97
129+08793,8860.5445
129+08115,31395.7086
129+09020,13954.2415
129+08836,16688.8851
129-08942,9157.6159
129-08928,17049.7188
129-09019,18037.7314
129+08692,23253.4886
129-08065,20069.1199
129-08287,2683.8583
129-05681,4709.1119
129+05595,42473.0415
129-08059,3037.8984
129-08289,8299.315
129-05319,11936.0125
129+10851,6315.6961
129+05796,10163.3327
129+07605,3467.9966
129-09937,4686.3124
129+08220,12969.0774
129+08690,15834.9257
129-09551,16240.689
129+08594,10951.3761
129+05656,12806.1539
129-04828,9013.3014
129-08675,4239.9154
129+05324,18205.4135
129-09030,38754.2907
129-05607,20703.1267
129+06281,25805.8708
129+08563,1479.2333
129-08716,3942.2478
129+10099,1147.7972
129-08119,13105.1519
129+05787,27355.4684
129+08929,16948.6841
129+05384,1759.8692
129-08952,29076.897
129-06330,14770.3899
129+09021,15356.5957
129+04787,5516.5918
129+09027,31309.2001
129-07607,6475.2111
129-08984,35510.7667
129-08764,29783.0953
129-05694,23191.1463
129-08995,11735.4804
129-08447,20768.4817
129-06485,29403.8506
129+08963,42238.1062
129+09022,21225.0163
129+05810,4078.6283
129+07607,5957.4989
129-06478,22657.0739
129-04838,17482.4195
129-05682,9217.478
129-07608,9385.276
129-08923,3549.2401
129+08126,1554.142
129+09906,17914.7672
129-10053,18732.5032
129+05372,15160.8119
129-04886,4129.1842
129-08370,10524.6219
129-04789,8789.246
129-05369,8412.4368
129-10230,14535.8331
129+04828,8800.9872
129-08986,853.9392
129-08315,24598.033
129+06280,1705.1888
129+10339,2126.418
129+10208,12278.249
129-10850,1069.0944
129+08632,135.2571
129-07606,5976.1156
129-05314,3353.4451
129-05383,1786.0281
129+05377,23406.2743
129+04876,13355.826
129+08517,47157.4306
129-10209,21830.5729
129+04811,9044.8294
129+05692,32417.5652
129-08453,16788.4491
129-10228,14023.9298
129+08237,2330.5409
129-08925,12151.1438
129-08680,13709.9263
129+08072,34623.4454
129-08322,34577.8504
129-04798,21045.6838
129-08947,18203.9256
129+08760,35973.2335
129+08474,4041.0251
129-09940,8713.1615
129-05598,36623.8297
129-06337,8488.5497
129-05705,61902.6321
129-05608,16424.3864
129+05701,51137.2213
129-08768,20195.1015
129-08118,16246.3731
129+05537,11046.137
129-10037,10071.9581
129+04893,8167.7897
129-05644,18771.3474
129-08293,13105.4063
129+08973,22903.6244
129-05378,29435.3559
129-08128,12785.4138
129-08077,47117.367
129+04784,2520.9279
